Stop_id,Latitude,Longitude
304841,40.699716,-73.907354
308488,40.700178,-73.910254
502992,40.736494,-73.877838
503017,40.739049,-73.877764
503240,40.744715,-73.836207
503444,40.743221,-73.837083
503451,40.70402,-73.904052
503453,40.704364,-73.901923
503455,40.705683,-73.896695
503457,40.708023,-73.897694
503459,40.710601,-73.899499
503462,40.71649,-73.901595
503465,40.721506,-73.903054
503468,40.724268,-73.898362
503470,40.726466,-73.894339
503472,40.730283,-73.887154
503475,40.733451,-73.883824
503477,40.735806,-73.880197
503479,40.740412,-73.876413
503481,40.742443,-73.873012
